family,updated_names,taxa,dorsal fin,anterior dorsal fin,posterior dorsal fin,adipose fin,caudal fin,anal fin,pectoral fin,pelvic fin,barbel,mouth,caudal peduncle,caudal fin upper lobe,caudal fin lower lobe,additional annotations?,,,
Cyprinidae,Cyprinella garmani,Cyprinella garmani,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella gibbsi,Cyprinella gibbsi,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella labrosa,Cyprinella labrosa,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella lutrensis,Cyprinella lutrensis,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella nivea,Cyprinella nivea,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella panarcys,Cyprinella panarcys,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella proserpina,Cyprinella proserpina,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella pyrrhomelas,Cyprinella pyrrhomelas,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella rutila,Cyprinella rutila,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella spiloptera,Cyprinella spiloptera,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella trichroistia,Cyprinella trichroistia,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella venusta,Cyprinella venusta,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella whipplei,Cyprinella whipplei,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinella xanthicara,Cyprinella xanthicara,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Cyprinus carpio,Cyprinus carpio,1,,,0,1,1,1,1,1,1,1,1,1,,,,
Cyprinidae,Erimonax monachus,Erimonax monachus,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Cyprinidae,Exoglossum maxillingua,Exoglossum maxillingua,1,0,0,0,1,1,1,1,0,1,1,1,1,,,,
Cyprinidae,Gila atraria,Gila atraria,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Gila bicolor,Gila bicolor,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Gila nigrescens,Gila nigrescens,1,0,0,0,1,1,1,1,NA,1,1,1,1,,,,
Cyprinidae,Gila pandora,Gila pandora,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Cyprinidae,Gila pulchra,Gila pulchra,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
Cyprinidae,Hybognathus hankinsoni,Hybognathus hankinsoni,1,0,0,0,1,1,1,1,1,1,1,1,1,,,,
